NGC189;00h39.6m;+61°06';Carina;Open Cluster;8.8;5';Caroline Herschel
IC1805;02h32.7m;+61°27’;Cassiopea;Nebulosa diffusa;6.5;Nebulosa Cuore;Distanza: 7500al
IC1848;02h51.1m;+64°24.51’;Cassiopea;Nebulosa diffusa;6.5;Nebulosa Anima;Distanza: 7500al
